0
-117.0652,34.0039
-117.0650,34.0036
-117.0649,34.0036
-117.0640,34.0017
-117.0632,34.0004
-117.0627,33.9994
-117.0622,33.9985
-117.0621,33.9984
-117.0616,33.9975
-117.0613,33.9970
-117.0608,33.9963
-117.0605,33.9959
-117.0583,33.9928
-117.0564,33.9899
-117.0560,33.9894
-117.0559,33.9891
-117.0558,33.9890
-117.0554,33.9885
-117.0548,33.9877
-117.0544,33.9870
-117.0539,33.9861
-117.0532,33.9849
-117.0530,33.9845
-117.0506,33.9797
-117.0506,33.9795
-117.0503,33.9790
-117.0497,33.9782
-117.0495,33.9779
-117.0491,33.9775
-117.0484,33.9768
-117.0480,33.9763
-117.0472,33.9757
-117.0466,33.9753
-117.0462,33.9751
-117.0455,33.9746
-117.0449,33.9744
-117.0445,33.9741
-117.0438,33.9739
-117.0429,33.9734
-117.0425,33.9733
-117.0420,33.9730
-117.0417,33.9728
-117.0414,33.9726
-117.0410,33.9723
-117.0402,33.9716
-117.0398,33.9713
-117.0390,33.9706
-117.0389,33.9705
-117.0388,33.9704
-117.0381,33.9698
-117.0374,33.9692
-117.0370,33.9689
-117.0365,33.9685
-117.0359,33.9682
-117.0357,33.9680
-117.0354,33.9678
-117.0348,33.9675
-117.0337,33.9670
-117.0327,33.9665
-117.0322,33.9663
-117.0319,33.9661
-117.0317,33.9660
-117.0316,33.9660
-117.0314,33.9658
-117.0309,33.9656
-117.0306,33.9653
-117.0304,33.9652
-117.0300,33.9649
-117.0293,33.9643
-117.0287,33.9638
-117.0280,33.9632
-117.0277,33.9629
-117.0271,33.9625
-117.0265,33.9620
-117.0256,33.9614
-117.0247,33.9608
-117.0246,33.9607
-117.0208,33.9582
-117.0204,33.9580
-117.0185,33.9567
-117.0156,33.9548
-117.0153,33.9545
-117.0148,33.9542
-117.0141,33.9536
-117.0134,33.9531
-117.0103,33.9510
-117.0093,33.9503
-117.0085,33.9497
-117.0074,33.9489
-117.0072,33.9488
-117.0071,33.9487
-117.0069,33.9485
-117.0067,33.9484
-117.0059,33.9477
-117.0054,33.9473
-117.0049,33.9468
-117.0047,33.9467
-117.0042,33.9461
-117.0037,33.9456
-117.0031,33.9449
-117.0017,33.9431
-117.0015,33.9429
-117.0014,33.9428
-116.9999,33.9409
-116.9980,33.9387
-116.9977,33.9384
-116.9972,33.9379
-116.9969,33.9376
-116.9958,33.9368
-116.9954,33.9365
-116.9953,33.9364
-116.9952,33.9363
-116.9948,33.9361
-116.9923,33.9343
-116.9906,33.9332
-116.9901,33.9329
-116.9899,33.9328
-116.9895,33.9326
-116.9892,33.9325
-116.9885,33.9323
-116.9885,33.9323
-116.9885,33.9322
-116.9882,33.9322
-116.9882,33.9322
-116.9878,33.9320
-116.9874,33.9318
-116.9873,33.9318
-116.9870,33.9316
-116.9861,33.9310
-116.9853,33.9302
-116.9846,33.9296
-116.9845,33.9295
-116.9839,33.9290
-116.9835,33.9286
-116.9832,33.9284
-116.9827,33.9281
-116.9820,33.9277
-116.9813,33.9275
-116.9808,33.9273
-116.9804,33.9272
-116.9803,33.9272
-116.9797,33.9271
-116.9795,33.9270
-116.9791,33.9270
-116.9787,33.9269
-116.9786,33.9269
-116.9782,33.9269
-116.9771,33.9269
-116.9764,33.9269
-116.9758,33.9269
-116.9741,33.9269
-116.9736,33.9269
-116.9731,33.9270
-116.9730,33.9270
-116.9729,33.9270
-116.9719,33.9270
-116.9716,33.9270
-116.9705,33.9271
-116.9702,33.9271
-116.9695,33.9271
-116.9689,33.9272
-116.9688,33.9272
-116.9678,33.9272
-116.9674,33.9272
-116.9660,33.9272
-116.9648,33.9272
-116.9624,33.9271
-116.9605,33.9271
-116.9603,33.9271
-116.9578,33.9270
-116.9527,33.9269
-116.9485,33.9268
-116.9478,33.9268
-116.9468,33.9268
-116.9403,33.9265
-116.9397,33.9265
-116.9393,33.9265
-116.9364,33.9263
-116.9307,33.9261
-116.9294,33.9261
-116.9293,33.9261
-116.9255,33.9260
-116.9236,33.9259
-116.9233,33.9259
-116.9208,33.9258
-116.9203,33.9258
-116.9197,33.9257
-116.9193,33.9257
-116.9181,33.9255
-116.9178,33.9255
-116.9176,33.9254
-116.9169,33.9253
-116.9150,33.9250
-116.9146,33.9249
-116.9144,33.9249
-116.9130,33.9246
-116.9129,33.9246
-116.9118,33.9244
-116.9108,33.9243
-116.9104,33.9242
-116.9099,33.9242
-116.9096,33.9241
-116.9095,33.9241
-116.9060,33.9241
-116.9058,33.9242
-116.9009,33.9242
-116.9006,33.9242
-116.8986,33.9242
-116.8958,33.9241
-116.8958,33.9241
-116.8956,33.9241
-116.8937,33.9241
-116.8931,33.9242
-116.8920,33.9242
-116.8915,33.9242
-116.8914,33.9241
-116.8913,33.9241
-116.8913,33.9241
-116.8854,33.9241
-116.8851,33.9241
-116.8818,33.9241
-116.8812,33.9241
-116.8811,33.9241
-116.8767,33.9242
-116.8764,33.9242
-116.8734,33.9242
-116.8718,33.9242
-116.8716,33.9242
-116.8680,33.9242
-116.8651,33.9242
-116.8627,33.9242
-116.8622,33.9243
-116.8615,33.9243
-116.8614,33.9243
-116.8611,33.9243
-116.8599,33.9245
-116.8595,33.9245
-116.8594,33.9245
-116.8583,33.9247
-116.8567,33.9250
-116.8554,33.9253
-116.8548,33.9254
-116.8540,33.9257
-116.8537,33.9258
-116.8534,33.9259
-116.8531,33.9260
-116.8529,33.9261
-116.8526,33.9262
-116.8521,33.9265
-116.8518,33.9266
-116.8512,33.9269
-116.8512,33.9269
-116.8509,33.9269
-116.8505,33.9271
